country,iso3,region,source_type,year,prophet_forecast_mw_x,lr_forecast_mw,prophet_forecast_mw_y,sarima_forecast_mw,xgb_forecast_mw,lgbm_forecast_mw,hybrid_forecast_mw,ensemble_forecast_mw,recommended_forecast_mw,best_model
Greece,GRC,Europe,Hydro,2025,3583.02749029787,3577.2432432432433,3583.02749029787,3506.226746056921,3492.538215637207,3545.7445234181805,3464.5523102015363,3504.31810304021,3504.31810304021,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Hydro,2026,3607.0396108657537,3607.6216216216217,3607.0396108657537,3521.4273851047583,3663.991600036621,4189.281723588463,3488.56443076942,3618.1188938791797,3618.1188938791797,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Hydro,2027,3631.032364235415,3638.810810810811,3631.032364235415,3536.485171121577,3889.662208557129,4602.166270683431,3512.5571841390815,3765.6772246528267,3765.6772246528267,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Hydro,2028,3655.003386575812,3670.810810810811,3655.003386575812,3551.400572525594,4014.02254486084,4607.3924027587755,3536.5282064794783,3850.2559256136774,3850.2559256136774,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Hydro,2029,3679.015895466992,3703.6216216216217,3679.015895466992,3566.174081726014,4178.098976135254,4825.0668096622285,3560.5407153706583,3959.572812546829,3959.572812546829,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Solar,2025,6888.000734268924,9268.65,6888.000734268924,9268.65,12184.535986328125,12648.845961844072,9268.65,12648.845960450211,12648.845960450211,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Solar,2026,7515.559412414989,9268.65,7515.559412414989,9268.65,14401.547705078125,13109.806062452388,9268.65,13109.806061239657,13109.806061239657,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Solar,2027,8132.71720164161,9268.65,8132.71720164161,9268.65,16021.608251953125,13680.063011755878,9268.65,13680.063010632011,13680.063010632011,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Solar,2028,8729.805941185074,9268.65,8729.805941185074,9268.65,16782.860693359376,13725.80504763474,9268.65,13725.805046670483,13725.805046670483,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Solar,2029,9299.923958989113,9268.65,9299.923958989113,9268.65,17487.922277832033,13725.80504763474,9651.03187780274,13725.80504683676,13725.80504683676,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Wind,2025,5994.047060879195,5991.476576576576,5994.047060879195,6017.414127226639,5585.227114868164,5543.488683896172,6047.853762999692,5633.999866660469,5633.999866660469,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Wind,2026,6428.225360610362,6454.421621621622,6428.225360610362,6485.146030697129,5932.621829223633,5756.098811340061,6482.032062730859,5891.570572530447,5891.570572530447,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Wind,2027,6848.726094386453,6935.233033033033,6848.726094386453,6969.035557762623,6163.075610351562,5902.148757469953,6902.53279650695,6095.730222630697,6095.730222630697,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Wind,2028,7250.765398854855,7433.91081081081,7250.765398854855,7468.223323138481,6469.39058227539,6207.884885484914,7304.572100975352,6430.155513990945,6430.155513990945,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Greece,GRC,Europe,Wind,2029,7631.451894147436,7950.454954954955,7631.451894147436,7981.791024845184,6801.679705810547,6348.189876220546,7685.258596267933,6629.9275488119765,6629.9275488119765,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
